Time,System Production (Wh)
09/01/2021,"12766"
09/02/2021,"45339"
09/03/2021,"31846"
09/04/2021,"44049"
09/05/2021,"15791"
09/06/2021,"42646"
09/07/2021,"42756"
09/08/2021,"37586"
09/09/2021,"7926"
09/10/2021,"39772"
09/11/2021,"37093"
09/12/2021,"38440"
09/13/2021,"34373"
09/14/2021,"28406"
09/15/2021,"35611"
09/16/2021,"16118"
09/17/2021,"11982"
09/18/2021,"41"
09/19/2021,"41736"
09/20/2021,"36680"
09/21/2021,"30035"
09/22/2021,"25315"
09/23/2021,"11771"
09/24/2021,"41299"
09/25/2021,"35658"
09/26/2021,"38391"
09/27/2021,"38752"
09/28/2021,"12060"
09/29/2021,"32453"
09/30/2021,"29590"
